question_id,kla,session,question_number,question_type,date,ministry,title_mal,mla_names,question_body_mal,answer_pdf_url,source_url,mla_name_eng,mla_party_eng,mla_constituency_eng,mla_party_mal,mla_constituency_mal
15-1-108,15,1,108,unstarred,2021-06-07,unknown,,ശ്രീ . മഞ്ഞളാംകുഴി അലി,"ചോദ്യങ്ങൾക്കു ഭക്ഷ്യ പൊതുവിതരണ വകുപ്പ് മന്ത്രി സദയം മറുപടി പറയാമോ? ( എ ) സംസ്ഥാനത്ത് അന്യസംസ്ഥാനങ്ങളില്‍ നിന്നുള്‍പ്പെടെ എത്തുന്ന പച്ചക്കറികള്‍, മത്സ്യം, മാംസം തുടങ്ങിയവ പലപ്പോഴും കേടായ നിലയിലും രാസവസ്തുക്കളും ആരോഗ്യത്തിന് ഹാനികരമായ മറ്റ് പദാര്‍ത്ഥങ്ങളും ചേര്‍ത്താണ് വിപണനത്തിനെത്തുന്നതെന്ന കാര്യം ശ്രദ്ധയില്‍പ്പെട്ടിട്ടുണ്ടോ; ഇത്തരത്തില്‍ കേടായ ഭക്ഷണപദാര്‍ത്ഥങ്ങള്‍ വിപണനം ചെയ്യുന്നത് തടയുന്നതിനുള്ള നിലവിലെ സംവിധാനങ്ങള്‍ എന്തെല്ലാമെന്ന് വിശദമാക്കുമോ; ( ബി ) ഭക്ഷ്യസംസ്കരണ മേഖലയില്‍ കേരളത്തിനുള്ള വലിയ വളര്‍ച്ചാ സാധ്യതകളും തൊഴില്‍ സാധ്യതകളും പ്രയോജനപ്പെടുത്തുന്നതിന് കേരളത്തിന് സ്വന്തമായി ഭക്ഷ്യസംസ്കരണ നയം രൂപീകരിച്ചിട്ടുണ്ടോ; എങ്കില്‍ വിശദാംശം ലഭ്യമാക്കുമോ; ( സി ) ഭക്ഷ്യസംസ്കരണ വ്യവസായത്തിന്റെ വളര്‍ച്ച സംസ്ഥാനത്ത് ശക്തിപ്പെടുത്തുന്നതിനും സുസ്ഥിരമാക്കുന്നതിനും ഇതുമായി ബന്ധപ്പെട്ട് ഉപജീവനം നടത്തുന്നവര്‍ക്കും പ്രാദേശിക സംരംഭകര്‍ക്കും പ്രയോജനപ്പെടുത്തുന്നതിനുമായി ഭക്ഷ്യസംസ്കരണ നയം രൂപീകരിച്ച് നടപ്പിലാക്കുമോയെന്ന് വ്യക്തമാക്കുമോ? പൊതുവിതരണ രംഗം കാര്യക്ഷമമാക്കല്‍",,http://www.niyamasabha.org/codes/15kla/Session_1/qns/html/u_070621_food(108-136).html,Manjalamkuzhi  Ali,Indian Union Muslim League,Mankada,ഇന്ത്യൻ യൂണിയൻ മുസ്ലീം ലീഗ്,മങ്കട
15-1-109,15,1,109,unstarred,2021-06-07,unknown,പൊതുവിതരണ രംഗം കാര്യക്ഷമമാക്കല്‍,ശ്രീ.,"എ . പി . അനിൽ കുമാർ : താഴെ കാണുന്ന ചോദ്യങ്ങൾക്കു ഭക്ഷ്യ പൊതുവിതരണ വകുപ്പ് മന്ത്രി സദയം മറുപടി പറയാമോ? ( എ ) ഭക്ഷ്യ പൊതുവിതരണ രംഗത്തെ മായം ചേര്‍ക്കല്‍, തൂക്കം വെട്ടിപ്പ് എന്നിവ സംബന്ധിച്ച ആക്ഷേപങ്ങള്‍ സമയബന്ധിതമായി അന്വേഷിക്കുന്നതിനും നടപടി സ്വീകരിക്കുന്നതിനും കഴിയുന്നുണ്ടോയെന്ന് വ്യക്തമാക്കുമോ; ( ബി ) ഭക്ഷ്യ പൊതുവിതരണം സംബന്ധിച്ച പരാതികള്‍ അറിയിക്കുന്നതിനും നിര്‍ദ്ദേശങ്ങള്‍ സമര്‍പ്പിക്കുന്നതിനും മന്ത്രിതലത്തില്‍ പ്രത്യേക സംവിധാനം ഒരുക്കിയിട്ടുണ്ടോ; വ്യക്തമാക്കാമോ; ( സി ) പരാതികള്‍ സമയബന്ധിതമായി പരിഹരിക്കുന്നതിന് ആവശ്യമായ ഇടപെടലുകള്‍ നടത്തുമോയെന്ന് വ്യക്തമാക്കുമോ; ( ഡി ) പൊതുവിതരണ രംഗം കൂടുതല്‍ കാര്യക്ഷമമാക്കുന്നതിന് എന്തെങ്കിലും പരിഷ്ക്കാരങ്ങള്‍ വകുപ്പില്‍ ഏർപ്പെടുത്താൻ ഉദ്ദേശിക്കുന്നുണ്ടോ; വെളിപ്പെടുത്താമോ? പൊതുവിതരണ ശൃംഖല ശക്തിപ്പെടുത്തുവാന്‍ നടപടി",http://www.niyamasabha.org/codes/15kla/Session_1/ans/u00109-070621-01-15.pdf,http://www.niyamasabha.org/codes/15kla/Session_1/qns/html/u_070621_food(108-136).html,,,,,
15-1-110,15,1,110,unstarred,2021-06-07,unknown,പൊതുവിതരണ ശൃംഖല ശക്തിപ്പെടുത്തുവാന്‍ നടപടി,ശ്രീ തോമസ് കെ തോമസ്,ചോദ്യങ്ങൾക്കു ഭക്ഷ്യ പൊതുവിതരണ വകുപ്പ് മന്ത്രി സദയം മറുപടി പറയാമോ? ( എ ) സംസ്ഥാനത്തെ പൊതുവിതരണ ശൃംഖല ശക്തിപ്പെടുത്തുവാന്‍ എന്തെല്ലാം പുതിയ സംവിധാനങ്ങളാണ് സര്‍ക്കാര്‍ നടപ്പിലാക്കാൻ പോകുന്നതെന്ന് വ്യക്തമാക്കാമോ; ( ബി ) സംസ്ഥാനത്ത് റേഷന്‍ കടകള്‍ വഴി മെച്ചപ്പെട്ട ഭക്ഷ്യധാന്യം വിതരണം ചെയ്യുന്നതിന് പ്രത്യേക നടപടികള്‍ സ്വീകരിക്കുമോ; ( സി ) വിലക്കയറ്റം പിടിച്ചു നിര്‍ത്തുന്നതില്‍ വലിയ പങ്ക് വഹിക്കുന്ന പൊതുവിതരണ ശൃംഖലയുടെ നിലനില്‍പ്പിന് എന്തെല്ലാം നവീന പരിപാടികള്‍ നടപ്പാക്കുമെന്ന് വ്യക്തമാക്കാമോ? കോവിഡ് - 19 മഹാമാരി കാലത്തെ ഭക്ഷ്യവസ്തുക്കളുടെ പൂഴ്ത്തിവെപ്പ്,http://www.niyamasabha.org/codes/15kla/Session_1/ans/u00110-070621-01-15.pdf,http://www.niyamasabha.org/codes/15kla/Session_1/qns/html/u_070621_food(108-136).html,Thomas K Thomas,Nationalist Congress Party,Kuttanad,നാഷണലിസ്റ്റ് കോൺഗ്രസ് പാർട്ടി,കുട്ടനാട്
15-1-111,15,1,111,unstarred,2021-06-07,unknown,കോവിഡ് - 19 മഹാമാരി കാലത്തെ ഭക്ഷ്യവസ്തുക്കളുടെ പൂഴ്ത്തിവെപ്പ്,ശ്രീ.,ടി.സിദ്ദിഖ് : താഴെ കാണുന്ന ചോദ്യങ്ങൾക്കു ഭക്ഷ്യ പൊതുവിതരണ വകുപ്പ് മന്ത്രി സദയം മറുപടി പറയാമോ? ( എ ) കോവിഡ്-19 മഹാമാരി കാലത്ത് ഭക്ഷ്യവസ്തുക്കൾ പൂഴ്ത്തി വെക്കുന്നത് സംബന്ധിച്ച പരാതികൾ ലഭിച്ചിട്ടുണ്ടോ; ഉണ്ടെങ്കിൽ ഇത്തരം പ്രവർത്തികൾ തടയുന്നതിനായി എന്തെങ്കിലും നടപടികൾ സ്വീകരിച്ചിട്ടുണ്ടോ; വിശദാംശങ്ങൾ ലഭ്യമാക്കാമോ; ( ബി ) കോവിഡ്- 19 കാലത്ത് ഭക്ഷ്യ വസ്തുക്കളുടെയും അവശ്യസാധനങ്ങളുടെയും വില വർദ്ധനവ് തടയുന്നതിനായി എന്തെങ്കിലും നടപടികൾ സ്വീകരിച്ചിട്ടുണ്ടോ; ഉണ്ടെങ്കിൽ വിശദാംശങ്ങൾ നൽകാമോ; ( സി ) കോവിഡ്-19 കാലത്ത് ഭക്ഷ്യക്ഷാമം പരിഹരിക്കുന്നതിനും ഭക്ഷ്യ സാധനങ്ങൾ വിതരണം ചെയ്യുന്നതിനുമായി കേന്ദ്ര സർക്കാർ ധനസഹായവും ഭക്ഷ്യ വസ്തുക്കളും കേരളത്തിന്‌ ലഭ്യമാക്കിയിട്ടുണ്ടോ; ഉണ്ടെങ്കിൽ ആയത് സംബന്ധിച്ച വിശദാംശങ്ങൾ ലഭ്യമാക്കാമോ? സൗജന്യ കിറ്റ് വിതരണം,http://www.niyamasabha.org/codes/15kla/Session_1/ans/u00111-070621-01-15.pdf,http://www.niyamasabha.org/codes/15kla/Session_1/qns/html/u_070621_food(108-136).html,,,,,
15-1-112,15,1,112,unstarred,2021-06-07,unknown,സൗജന്യ കിറ്റ് വിതരണം,ശ്രീ.,പി. ടി. എ. റഹീം : താഴെ കാണുന്ന ചോദ്യങ്ങൾക്കു ഭക്ഷ്യ പൊതുവിതരണ വകുപ്പ് മന്ത്രി സദയം മറുപടി പറയാമോ? ( എ ) കോവിഡ് പശ്ചാത്തലത്തില്‍ ആരംഭിച്ച സൗജന്യ കിറ്റ് വിതരണം തുടരുന്നതിന് തീരുമാനിച്ചിട്ടുണ്ടോ; എങ്കില്‍ ഏത് മാസം വരെയാണ് അത് നല്‍കാന്‍ ഉദ്ദേശിക്കുന്നതെന്ന് വ്യക്തമാക്കാമോ; ( ബി ) സൗജന്യ കിറ്റ് നല്‍കുന്നതിന് ആവശ്യമായ തുക ഏത് രീതിയിലാണ് കണ്ടെത്തുന്നതെന്ന് വിശദമാക്കാമോ? സൗജന്യ ഭക്ഷ്യകിറ്റ് വിതരണം,http://www.niyamasabha.org/codes/15kla/Session_1/ans/u00112-070621-01-15.pdf,http://www.niyamasabha.org/codes/15kla/Session_1/qns/html/u_070621_food(108-136).html,,,,,
15-1-113,15,1,113,unstarred,2021-06-07,unknown,സൗജന്യ ഭക്ഷ്യകിറ്റ് വിതരണം,ശ്രീ.,"പി.പി. ചിത്തരഞ്ജന്‍ : താഴെ കാണുന്ന ചോദ്യങ്ങൾക്കു ഭക്ഷ്യ പൊതുവിതരണ വകുപ്പ് മന്ത്രി സദയം മറുപടി പറയാമോ? ( എ ) കോവിഡ് മഹാമാരിയെ തുടര്‍ന്നുള്ള ലോക്ഡൗണ്‍ കാലത്തും, അതിനുശേഷവും സംസ്ഥാനത്ത് നടപ്പിലാക്കി വരുന്ന 'സൗജന്യ ഭക്ഷ്യകിറ്റ്' വിതരണത്തിന് സംസ്ഥാന സര്‍ക്കാര്‍ വഹിക്കുന്ന ചെലവിന്റെ വിശദവിവരം ലഭ്യമാക്കാമോ; ( ബി ) പ്രസ്തുത ഭക്ഷ്യകിറ്റിനായി കേന്ദ്രസര്‍ക്കാര്‍ സഹായം നല്‍കുന്നുണ്ടോ; എങ്കില്‍ വിശദമാക്കാമോ; ( സി ) കോവിഡ് ലോക്ഡൗണ്‍ കാലത്ത് രാജ്യത്ത് മറ്റ് എവിടെയെങ്കിലും ഇത്തരത്തില്‍ സൗജന്യ ഭക്ഷ്യകിറ്റ്' വിതരണപദ്ധതികള്‍ നടപ്പിലാക്കിയിട്ടുള്ളതായി ശ്രദ്ധയില്‍പ്പെട്ടിട്ടുണ്ടോ ; എങ്കില്‍ വിശദവിവരം ലഭ്യമാക്കാമോ? മായം ചേര്‍ത്ത മത്സ്യവിപണനം",http://www.niyamasabha.org/codes/15kla/Session_1/ans/u00113-070621-01-15.pdf,http://www.niyamasabha.org/codes/15kla/Session_1/qns/html/u_070621_food(108-136).html,,,,,
15-1-114,15,1,114,unstarred,2021-06-07,unknown,,ശ്രീമതി ഒ എസ് അംബിക,ചോദ്യങ്ങൾക്കു ഭക്ഷ്യ പൊതുവിതരണ വകുപ്പ് മന്ത്രി സദയം മറുപടി പറയാമോ? ( എ ) പൊതുവിപണിയില്‍ മായം ചേര്‍ത്ത മത്സ്യം വില്‍ക്കപ്പെടുന്നത് ശ്രദ്ധയില്‍പ്പെട്ടിട്ടുണ്ടോ; എങ്കില്‍ ആയത് തടയുന്നതിനായി സ്വീകരിച്ചിട്ടുള്ള നടപടികള്‍ എന്തൊക്കെയാണെന്ന് വിശദമാക്കുമോ; ( ബി ) മത്സ്യത്തില്‍ മായം കലര്‍ന്നിട്ടുണ്ടോ എന്ന് പൊതുജനങ്ങള്‍ക്ക് പരിശോധിച്ച് ബോധ്യപ്പെടാനുള്ള എന്തെല്ലാം മാര്‍ഗ്ഗങ്ങളാണ് നിലവിലുള്ളത്; ഇത് സംബന്ധിച്ച് പൊതുജനങ്ങളെ ബോധവല്‍ക്കരിക്കാന്‍ നടപടികള്‍ സ്വീകരിച്ചിട്ടുണ്ടോ? ഭക്ഷ്യഭദ്രത നിയമം മുൻഗണന പട്ടികയിലെ മാനദണ്ഡങ്ങൾ,,http://www.niyamasabha.org/codes/15kla/Session_1/qns/html/u_070621_food(108-136).html,O S Ambika,Communist Party Of India(Marxist),Attingal,കമ്മ്യൂണിസ്റ്റ് പാർട്ടി ഓഫ് ഇന്ത്യ (മാർക്സിസ്റ്റ്),ആറ്റിങ്ങൽ
15-1-115,15,1,115,unstarred,2021-06-07,unknown,ഭക്ഷ്യഭദ്രത നിയമം മുൻഗണന പട്ടികയിലെ മാനദണ്ഡങ്ങൾ,ശ്രീ.,ടി.സിദ്ദിഖ് : താഴെ കാണുന്ന ചോദ്യങ്ങൾക്കു ഭക്ഷ്യ പൊതുവിതരണ വകുപ്പ് മന്ത്രി സദയം മറുപടി പറയാമോ? ( എ ) ഭക്ഷ്യഭദ്രതാ നിയമം നടപ്പിലാക്കുന്നതിന്റെ ഭാഗമായി അർഹതപ്പെട്ട ഗുണഭോക്താക്കളുടെ മുൻഗണന പട്ടിക തയ്യാറാക്കിയിട്ടുണ്ടോ; ( ബി ) മുൻഗണന പട്ടിക തയ്യാറാക്കുന്നതിനായി സ്വീകരിച്ച അടിസ്ഥാന മാനദണ്ഡങ്ങൾ എന്തെല്ലാമാണെന്ന് വിശദമാക്കാമോ; ( സി ) ദാരിദ്ര്യ രേഖയ്ക്ക് താഴെയുള്ള പലരും മുൻഗണന പട്ടികയിൽ ഉൾപ്പെടാത്തത് സംബന്ധിച്ച പരാതികൾ ലഭിച്ചിട്ടുണ്ടോ ; ഉണ്ടെങ്കിൽ ഇത്തരം പിഴവുകൾ തിരുത്തുന്നതിനു വേണ്ട നടപടി സ്വീകരിച്ചിട്ടുണ്ടോ; വ്യക്തമാക്കാമോ? മായം കലര്‍ന്ന മത്സ്യത്തിന്റെ വിപണനം തടയുവാന്‍ നടപടി,http://www.niyamasabha.org/codes/15kla/Session_1/ans/u00115-070621-01-15.pdf,http://www.niyamasabha.org/codes/15kla/Session_1/qns/html/u_070621_food(108-136).html,,,,,
15-1-116,15,1,116,unstarred,2021-06-07,unknown,,ശ്രീമതി കെ.കെ.രമ,ചോദ്യങ്ങൾക്കു ഭക്ഷ്യ പൊതുവിതരണ വകുപ്പ് മന്ത്രി സദയം മറുപടി പറയാമോ? ( എ ) അന്യസംസ്ഥാനങ്ങളില്‍ നിന്നും രാസവസ്തുക്കള്‍ കലര്‍ന്നതും പഴകിയതുമായ ടണ്‍ കണക്കിന് മത്സ്യം കേരളത്തിലെ മാര്‍ക്കറ്റുകളില്‍ എത്തിക്കുന്നതായ റിപ്പോര്‍ട്ടുകള്‍ ശ്രദ്ധയില്‍പ്പെട്ടിട്ടുണ്ടോ; ( ബി ) മായം ചേര്‍ന്ന ഇത്തരം മത്സ്യം ഭക്ഷിക്കുന്നതുമൂലം ഗുരുതരമായ ആരോഗ്യ പ്രശ്നങ്ങള്‍ ഉണ്ടാകുമെന്ന് ആരോഗ്യവിദഗ്ദ്ധര്‍ ചൂണ്ടിക്കാണിച്ചിട്ടുള്ളത് ശ്രദ്ധയില്‍പ്പെട്ടിട്ടുണ്ടോ; ( സി ) എങ്കില്‍ ഇത്തരം മത്സ്യത്തിന്റെ വിപണനം തടയുന്നതിന് എന്തൊക്കെ നടപടികള്‍ സ്വീകരിക്കുമെന്ന് വ്യക്തമാക്കുമോ? റേഷന്‍കാര്‍ഡ് തരംമാറ്റം-അപേക്ഷകള്‍ തീര്‍പ്പാക്കുന്നതിനുള്ള നടപടികള്‍,,http://www.niyamasabha.org/codes/15kla/Session_1/qns/html/u_070621_food(108-136).html,K. K. Rema,Revolutionary Marxist Party Of India,Vatakara,റെവല്യൂഷണറി മാർക്സിസ്റ്റ് പാർട്ടി ഓഫ് ഇന്ത്യ,വടകര
15-1-117,15,1,117,unstarred,2021-06-07,unknown,റേഷന്‍കാര്‍ഡ് തരംമാറ്റം-അപേക്ഷകള്‍ തീര്‍പ്പാക്കുന്നതിനുള്ള നടപടികള്‍,ശ്രീ.,ലിന്റോ ജോസഫ് : താഴെ കാണുന്ന ചോദ്യങ്ങൾക്കു ഭക്ഷ്യ പൊതുവിതരണ വകുപ്പ് മന്ത്രി സദയം മറുപടി പറയാമോ? ( എ ) അര്‍ഹതയുണ്ടായിട്ടും റേഷന്‍കാര്‍ഡ് മുന്‍ഗണനാ വിഭാഗത്തില്‍ ഉള്‍പ്പെടാത്തതിനാല്‍ റേഷന്‍ ആനുകൂല്യങ്ങള്‍ പാവപ്പെട്ടവര്‍ക്ക് ലഭ്യമാകാത്ത വിഷയം ശ്രദ്ധയില്‍പ്പെട്ടിട്ടുണ്ടോ; ( ബി ) മുന്‍ഗണനാ വിഭാഗത്തിലേക്ക് കാര്‍ഡുകള്‍ മാറ്റുന്നതിന് ലഭിച്ച അപേക്ഷകളിന്മേൽ സമയബന്ധിതമായി തീര്‍പ്പുകല്പിക്കാന്‍ കഴിയാത്തതെന്തുകൊണ്ടാണെന്ന് വ്യക്തമാക്കുമോ; ( സി ) അപേക്ഷകളിന്മേല്‍ തീര്‍പ്പുകല്‍പ്പിക്കുന്നതിന് അടിയന്തര നടപടികള്‍ സ്വീകരിക്കുമോ? റേഷന്‍ മുന്‍ഗണന പട്ടിക,http://www.niyamasabha.org/codes/15kla/Session_1/ans/u00117-070621-01-15.pdf,http://www.niyamasabha.org/codes/15kla/Session_1/qns/html/u_070621_food(108-136).html,,,,,
